time,danmu
4.18000,1
16.00000,六公主nb
13.54200,央视nb！！！
6.88000,玄关之战
14.44300,央视挺喜欢用日漫BGM的
6.49100,？
13.32800,？？？
15.95600,。。。
2.98200,nb
15.96600,我裂开了
8.96100,我聋了？
0.65700,缘分的天空
9.67900,央视牛壁！
3.29200,哇哦
7.70800,？？？？？？？？？？
15.55400,听出来了
9.16000,old memory
15.46600,我记得  当时我也在看
9.71800,牛逼
3.38300,牛逼
7.15700,牛逼
2.17900,应该是11集上学的那段
4.40400,不能陪在身边，所以兄妹互助
11.38000,！！！
8.33900,央视：动画不能看，BGM好听
15.96600,在玩火？
13.36600,nb
10.46800,nb
6.65900,bgm: old memory
15.50200,记忆
7.30000,我裂开了
0.94400,哇哦？？
4.13100,??
4.95100,什么时候买？
13.84800,？？？？？？
11.69900,卧槽牛逼
12.30600,nb
7.31400,《更好的生活》
11.14100,我  放  我  禁  的​
11.61800,.om
7.12700,？？？？？？？？？？？？？
14.25600,。
5.03800,牛逼！
6.66400,我裂开了
15.96600,666
3.72200,我裂开了
7.71900,记得锁门
9.26900,我裂开了
15.85700,我聋了
11.12000,央视牛壁！
6.80000,禁的看不了，BGM好听就行
15.07300,？？
7.71800,感觉味道怪怪的
1.87800,央视牛逼
12.37500,出去记得调音量！
1.21800,我可能耳聋了
16.00000,有内味了
5.57800,央视南博万没人反对
13.07900,我裂开了
6.72100,给CCTV点赞。
9.06900,正常
0.61000,谁反对？
11.13800,央视牛逼
1.85400,1
5.91300,有画面里
8.77500,6
3.45800,我          放           我          禁         的
5.34600,草
4.61200,听见这音乐就想哭
14.63600,牛逼
15.95800,6666
10.86500,woc
4.96200,六公主NB
5.33000,央妈牛逼
14.37200,？
12.87500,混入内鬼
2.72300,真是讽刺
1.74000,央视牛壁！
13.57900,放这个曲子就串味了
15.96600,牛逼
2.00000,主要现场都是些老年人也不知道BGM是啥[小电视_汗]​
1.13300,听不见
7.11900,牛
1.70900,这种事金牌调解干多了
15.98400,bgm; Old Memory
12.11300,牛逼
6.14200,缘什么空来着？
12.41800,这种事央视干的多了去了
7.06000,爱情变亲情了草
3.53000,听这个BGM我只能想到奇怪的东西
13.02000,吼吼吼握草
11.94000,握草
2.39800,央视禁品，必属精品
14.32300,有那bgm搞我
9.67200,我放我禁的
15.96600,嘿嘿嘿
