time,danmu
70.09700,超时空骗局~
141.93900,【爱也恒久】
139.65900,【那晚过了天很蓝】
25.55900,《豪俊金曲》
125.36900,【爱也恒久】
102.60900,【啊 今宵我整理好了行李】
98.79300,【一楼以渐没人更没回应】
90.43500,【约好了再见面又在想着谁】
86.23500,【我们于桥头分手了】
83.60600,【爱也恒久】
81.40600,【那晚过了天很蓝】
185.61500,吓死我了刚才还空屏
34.55800,猫王音箱
36.56900,《原声大碟》
73.42300,so↑do↓i↑
17.45600,我已经听到声了
88.72400,汪苏泷：坏了，我成替身了
4.77900,no no no~!
42.49900,同款猫王，我的是红色
33.50700,泪，拉了出来
56.29800,同款音响
203.73000,属于镜头散光了
13.05900,卧槽walk man 竟然还留着啊!
32.91500,同款猫王音响啊
30.74000,桌子上的照片居然在跳舞
22.97500,最喜欢的一集
33.25700,星爵同款
3.75100,草，同款桌子
48.89400,磁带居然可以放视频！
27.32200,《 星 爵 》
15.29100,合 金 装 备 幻 痛
28.53900,同款猫王音响
84.17100,王苏龙～
37.61900,坏消息：被骗了 好消息：还挺好听
32.81700,哎哟！不错哦
77.55300,角色立绘笑死我了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
14.07900,好久没见到磁带了
37.77500,同款猫王
87.06900,汪苏泷～～
56.43600,《回到过去（被骗）》
88.05100,汪苏泷！！！
52.69000,帅小伙
34.79100,猫王
80.73900,好好收藏吧，看的我都想要买磁带了
121.69900,1000＋在听神曲
39.02500,《坐忘道》
107.80100,空瓶是我的了
36.37800,《sony》
23.06300,同款圆桌
82.84000,劲啊
1.29900,《快来力！》
38.56700,woc，我愿意被骗！！！
10.73900,《我的追星日记》
60.08700,音质问题应该是up的录像设备的
3.98600,好家伙1000+
31.71900,同款猫王
14.31900,二乔觉得很赞
17.89100,星爵同款随身听
17.41700,洗耳恭听！
4.25900,《远古欺诈》
5.56500,《小卡》
132.15900,听多少遍都觉得好听
2.45100,《里克•阿斯特利专辑》
53.13900,同款音响
24.31700,我被骗了！但是自愿（）doge
25.05900,怎么回事我这已经有声音了doge
59.77900,汪苏泷～～
111.99700,空屏是我的
74.25400,卡在中间转圈圈~
30.35500,还是猫王音箱
170.73900,这个音质的鼓点好喜欢！！
175.30700,一千加都没听过完整版的吧
32.18000,同款音响
39.29900,凝聚的诈骗，连时光都能......诶，别嘟啦我啊
30.29900,我超！！有内味了
15.80200,优雅
28.13700,《喜羊羊与灰太狼之时空诈骗者》
27.00300,星爵最爱
4.49900,《豪俊金曲》
51.00600,好像已经刻在我的DNA里了
32.31700,哈哈哈哈猫王音响
57.74200,话术表(
69.17900,优雅
1.95900,哈哈哈哈哈哈卧槽
20.09900,哇噻，磁带随身听
9.37900,怀念，卡带
125.11500,的确很好听
36.55900,太帅了磁带
182.65000,我对UP的小音响很好奇​
39.89700,《猝不及防》
28.53900,《豪俊金曲》
2.03300,《歌声飘过30年》
46.05700,猫王的蓝牙音响
36.22800,欺骗是唯一可以超越间和空间的东西
34.35700,播放器是猫王
216.39300,哎～～～我边听边唱
52.18100,同款音响
45.93900,《里克》
35.77900,太耳熟了吧，这声音。（捂脸）
37.99900,诈骗的错位时空
89.22200,汪～苏～泷～～
27.27000,MV在DNA里自动播放
5.17700,我从小骗到大（doge
41.42800,霓虹甜心？
59.83800,好家伙，一上来就是诈骗神曲
45.38000,已经有画面了
14.71900,小时候我特喜欢把磁带抽出来
37.62100,超时空骗局
30.86800,《跨时空的诈骗》
1.89900,《骗局》
34.13900,猫王
80.65500,回到炸骗
88.48900,汪苏泷～
66.92600,同款收音机！
16.76500,电锯惊魂
87.96300,汪苏泷～
67.74900,居然还是3D的
40.52700,星爵跳舞
49.95100,超时空诈骗
28.04700,我英语听力都没有想像现在这么好过
2.39900,《最伟大的骗局》
36.07900,你这音箱怎么还有视频播放器呀【恼】
161.33900,我究竟在期待什么
60.47900,《跨时空诈骗》
4.71900,诈骗狂魔
88.69400,汪苏泷～
55.44400,汪苏泷～
3.00300,我被骗了！！！
13.32200,星爵觉得很赞
60.52100,同款骗局欸
169.51900,汪苏泷～
87.99800,汪苏泷～
4.01900,《文艺复兴》
20.51900,纸太新，太明显
7.09900,当年金曲合集比较多
6.09900,已经听到声音了。。。
6.80300,《1000+》
49.17900,优雅，太优雅了
42.37000,猫王音响，我公司楼上
138.37900,《我被骗了》(喜)
40.63500,穿梭时间的画面的诈骗
164.14700,汪苏泷～
90.30700,汪苏泷～
60.54700,adr的钙～
10.19300,《骗局》
80.25700,带耳机感觉像在外放
35.25900,还是磁带质感好
99.37900,太秀了空耳
8.45900,《快来罢！》
11.25900,熟悉又陌生的铰链摩擦声
42.67000,超时空诈骗
28.63100,小手手摇起来
29.13100,《Sony》
34.79200,《我自愿的》
44.61400,出音味来
163.73100,汪苏泷～
135.31900,飘过～～～～～～～～～～
38.32900,超时空诈骗
76.47300,音质好好
7.89900,《英语听力磁带》
34.61900,超时空诈骗
0.88800,《 迫 不 及 die 》
3.53800,《里克·阿斯特里》
29.71900,超时空诈骗
25.89800,同款播放器
199.62300,哈哈这录的里克头变形了
6.49900,专辑名:善意的谎言
2.51300,《里克·阿斯特利》
14.07600,《原 汤 化 原 食》
10.41900,你被骗了（doge）
29.81700,我居然在骗人的视频里被骗了
35.56300,太有感觉了
37.31200,《我被骗了》
127.61400,空屏是我的啦
20.03000,要来力!
3.01900,《我自愿的》
90.33100,汪苏泷～
13.97100,谁注意到了左下角的拖鞋［doge］
68.35900,手动歌词显示
2.37900,出音味来
165.84900,汪苏泷～
67.90800,音响不错啊
37.51900,《跨越时空的诈骗》
99.73700,橙字好评↓
49.61100,新型骗局：骗中骗
69.23000,有歌词页诶
40.93900,画质好高，连rick脸上的笑都看的一清二楚
190.88300,10000
173.28800,10000
166.98900,747人正在被骗
222.99900,右边黑绳子被夹住了
93.11800,郭爱农～
64.92500,确实好听呀
116.94300,747人被骗
2.34800,《美国骗局》
193.82200,承包空屏
140.47000,784人
67.09100,磁带放视频笑死我了哈哈哈哈那他妈是DVD
15.12200,I want play a game
44.74800,有画面了
171.92400,754个人正在被骗
14.87900,陈年骗局
97.14200,骗王之王
147.57300,700人被骗
52.92600,【还保留幼时往来的承诺】
60.32900,这也太新了吧…我的cd放个三四年就烂的不行 磁带更是听不了了
90.40900,【约好这辈能见面又在想着谁】
116.47500,700+在线被骗
53.11100,经典咏流传~~~
157.21100,【那晚动了情那晚动了情】
137.52900,【那晚给了谁告白】
135.40900,【那晚快乐谋求不来】
131.28900,【那晚过后人到老年别无所求】
129.16100,【那晚勾勒了秋冬】
169.05200,762人正在受骗
90.52900,【约好这辈能见面又在想着谁】
52.80900,【还保留幼时往来的承诺】
26.83300,索尼啊
28.19300,已经开始笑了
59.41900,700人同时被骗。
34.13900,摇起来！
24.33900,老古董了
153.47300,【那晚动了情那晚动了情】
150.43300,【别了吾爱】
146.23000,【别了吾爱】
141.34700,神曲
93.03800,罗志祥
62.40600,【啊 就像蜂儿亲吻花瓣蓓蕾】
123.00900,【那晚过后天很蓝】
61.12800,抛开梗不说，这首歌是真的好听
120.72900,【那晚给了谁告白】
118.80900,【那晚快乐谋求不来】
114.60900,【那晚过了人到老年别无所求】
112.60900,【那晚过完了秋冬】
93.37800,罗志祥
107.60900,【等天一亮就奔东西】
89.62700,汪苏泷~
94.59300,【眼下我刚好路过这片公寓楼】
79.24600,【那晚给了谁告白】
77.16600,【那晚快乐谋求不来】
73.04600,【那晚过了人到老年别无所求】
238.28400,百京爷！
168.07600,到这就没人了？
66.04600,【共同谋求爱的酸】
61.03300,【啊 就像花儿亲吻花瓣蓓蕾】
57.19800,【于无人在的窗为你而祷告】
52.99800,【还保留幼时往来的承诺】
48.95800,【由那段认识换一生笃爱】
44.75800,【北风把树叶吹落】
195.55900,已有120.3万人被骗
150.38700,800+人正在被骗
152.37300,813个人正在被骗
6.51100,哈哈哈哈哈哈
36.48900,影视金曲
6.78700,影视金曲
25.19400,愿者上钩
98.57900,里克是什么翻译？按日本人的发音翻译的？
80.85900,好像肯尼迪
34.02100,你被骗了
148.18900,823
138.19000,804人
223.61200,846人
233.62400,800人郑外被骗
163.31900,830人
91.13400,罗志祥！
131.67600,801人
8.97900,前来受骗
15.50800,自愿被骗
28.13700,[Ohhhhhhhhh]
158.49400,800人正在受骗
35.95100,音质不错
56.80900,八百人正在看
32.79900,一点带劲儿啊
15.01600,迫不及待
28.27300,咚咚咚咚
87.52300,汪苏泷~
52.52900,汪苏泷~
11.49700,英语听力
38.41900,索尼大法好
79.29300,好怕他尝到say goodbye的时候拿枪指着我
115.34300,924人正在被骗
12.17900,这磁带怎么有点像英语听力，，
91.79300,罗志祥！to say~
233.96100,小智？
169.58300,851人正在被诈骗
31.53100,我自愿的
21.78900,不会是英语听力测试吧？
49.51500,哈哈哈哈
51.46300,我有光碟
4.27300,我也有
28.01200,愿者上钩
22.49900,索尼配索尼!
35.15500,全体欣赏音乐
94.06700,刘志祥
48.47000,我的手机在震动
70.60200,没变黄
2.93900,114.5万播放量（警觉）
9.37900,愿者上钩
21.88900,想起真嗣
0.09900,你被骗了
