time,danmu
247.61200,分站：肖占戈
5.06000,《三观比五官还正》
639.01800,虽然我有喜欢的反派，但这并不妨碍他进局子
436.79800,然后拉人入伙提升地位，增加分红？
38.52800,不得不感叹一句:珍爱生活，远离饭圈
212.93000,哈哈哈哈哈哈哈哈，果然“优秀”
62.87400,赵社长风评被害案
380.58100,【人   间   喜   剧】
703.88300,突然怀念杨永信来救救那些失足的孩子
99.97900,新青年风评被害
186.59800,前朝的刀砍本朝的官。哈哈哈哈
30.84400,“三观比五官还正”
561.34600,《自我介绍》
54.51200,有内鬼，终止交易
475.97400,《突袭6-14，突袭5-7》
79.45900,《三观比五官正》
52.81900,低情商：
31.17900,看似在诅咒糊，实则在保护
39.88600,照这么说他五官得歪到什么程度啊（doge）
19.07300,长得和三星堆一样哈哈哈
10.71600,《三观正》
305.25600,众所周知xz粉丝全员“路人”
81.26000,你是内鬼！！！
70.87900,对他们来说，不批评太难得了，算是力挺了
108.33800,五官歪成土豆了
555.60700,众筹收号
181.65900,天要令其灭亡，必先令其疯狂
642.62500,傅慎行老混蛋了hhh
346.40100,是反话，是友军哈哈
46.77100,有内鬼
752.93500,反复鞭尸自家爱豆
94.78900,这年纪还新青年？？？？？！
21.27200,没错，他的五官是整(正)得
24.05900,央妈：喵喵喵？
677.84600,话说傅慎行是谁呀哈哈
42.33300,危机合约作业瞩目
3.38000,三  观  比  五  官  还  正
460.38100,我以为传销消失了，原来它变成了这么一个模样。。。。。
165.34600,跨  时  空  救  援
438.59900,传销     组织
49.05900,有内鬼，终止交易
542.99200,这可怕的求生欲
576.29900,开心的拍起自己的肚皮
79.61500,有内鬼终止交易
865.05800,30米威亚坠落，他没有哭啊哈哈哈哈哈哈哈哈哈哈哈
283.87800,《是 时 候 了》
638.19800,个人认为这样的偶像有的只是ncf，毕竟人以群分，物以类聚嘛
35.04100,捕捉到一只小虾⬇
572.11400,说得好！鼓掌！！
64.91500,毕竟五官歪入地平线
338.10600,严肃，你把我逗笑了
123.34000,赵社长：当事人就是非常后悔
676.08600,这是喜欢傅慎行的哈哈哈哈
337.75000,《三 观》
277.93500,哈哈哈哈 我 杀 我 自 己
39.61700,两  极  反  转
353.53900,《三 观》
202.43600,对对对，维护自己的三观！！！
97.98000,请求内鬼坐标
326.37400,同意分不清友军和敌军，友军经常被高喷，怕得只好畏畏缩缩的说话
451.51900,传 销 组 织
157.68900,突然出现的朱老师
11.23900,↓捕抓一个要爆破的
3.41900,把弹幕透明度调100%好亿点找弹幕
336.96600,这笑声太感染力了
75.64300,已经发现几个内鬼了
845.65900,他是哑巴也是聋子哈哈哈
97.18100,我刚刚看到央妈在作香辣虾呢，哈哈哈
274.64000,是 该 走 人 的 时 候 了
188.86000,成 老 师
54.10900,生   前   遗   照
568.53800,三观在碎纸机过了一遍？
438.53300,传销组织哈哈哈哈哈哈哈哈哈
83.31100,B站特色，你永远不知道被网友集火的弹幕说了什么
93.57900,流氓新青年实至名归
219.51900,獐头鼠目，首鼠两端
507.42100,哈哈哈哈，感受到没的迷惑了
150.33900,我看到了我哥向上的光哈哈哈哈
562.74700,???笑死我了我身边的虾来找我掰头上来一下子要说的这句2333
26.09400,艾克：两极反转！看好了！
21.36100,哈哈哈哈哈哈哈今日最大笑话
144.41300,天团魔咒，咒你一辈子！
428.63800,等等...网页收藏夹的学习....
765.58800,理性思考是个分站，哈哈哈哈哈哈哈
341.21900,删了三观这位兄弟秀哈哈哈哈哈哈
530.67000,表情包大户哈哈哈哈
60.39900,有内鬼，注意不要被带偏保留自己的理智
753.36900,"对不起，我没有粉丝(°ー°〃),愣住"
92.87400,有内鬼，停止交易!
9.81800,它确实三观比五官正啊（爱因斯坦式狗头
54.85800,内鬼拉出去，意大利炮伺候!
83.38000,有内鬼，中止交易！！！
26.57600,我的犯罪是从你迷人的五官开始的（doge）
320.43500,时常难以分清敌军与友军
45.24700,有内鬼，终止交易！
544.75900,强大的求生欲
99.39100,友内鬼
570.40500, 顶 瘤 明 星 成 结 思
571.56800,看到旁边深深了 哈哈哈
649.86800,傅慎行哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我从啊漫那里听说过这个男人！
52.62100,有内鬼
13.80000,有内鬼，终止评论
568.53300,我 骂 我 自 己
62.07900,我叫有内鬼，我当时害怕极了
778.49400,狠起来自己都骂
59.61200,有内鬼，终止交易
45.03100,央视无辜被牵连
314.25900,哈哈哈，UP主这笑声打动了我
91.47900,有内鬼，停止交易
122.31500,央妈真的无辜
64.53800,哈哈哈哈哈三观比五官还正这是在骂什么
150.30200,央视心里苦的一批
65.12700,有内鬼，中止交易
346.13000,人间迷惑行为，哈哈哈哈哈
819.57700,但是 就很灵性
633.13200,养老院加一
332.86700,他删文了，所以他三观没了（手动滑稽）
862.19000,这位同学说的在理！
435.74800, 传    销    组    织
435.74800,传  销  组  织
435.74800, 传  销  组  织
435.74800,传 销 组 织
435.74800,传 销  组 织
432.40800,传 销 组 织
432.40800,传 销 组 织
432.40800, 传 销 组 织
432.40800, 传 销 组 织
432.40800,传 销 组 织
431.50800,传 销 组 织
633.72400,五官决定三观是什么神仙
841.73900,狗:我不是真的人，但他可以是真的狗
347.69400,“三观”
261.29900,6.明白了真相
261.29900,5.因某些原因导致不爱了
444.17900,奇怪的知识又增加了
866.09400,请他做个人，，，哈哈哈
113.42100,新青年没有被邀请去54青年节
48.76200,抓住内鬼
87.91800,我觉得他一点也不正，没有担当
63.25900,保护友军
49.01900,保护友军
47.79700,有内鬼！！终止交易
61.75900,怎么感觉在上网课，屏幕分享哈哈哈
117.91300,这句子主语是“正能量短片”啊。。。。
80.76500,看到水产大家一人一个举报送他回家
64.02500,有内鬼！！！停止交易
47.29300,有内鬼，终止交易。over
449.17900,up主的笑成功逗笑我
278.16300,成老师需要热度？哈哈哈哈哈
783.13600,我的粉丝是谁，而我又是谁的粉丝哈哈哈哈哈
849.01100,还偷我熊祁的身子，可真的是个“人”啊
561.24500,阴    阳    怪    气
