time,danmu
4.37000,哈哈哈哈哈，六公主每次都那么让人猝不及防
11.55300,2
14.85800,中国文化博大精深每一个字都是内涵
5.71800,六公主在整活
7.60600,不愧是我家六公主
14.59800,美国:你再骂！
7.04200,上午：开国大典 下午：一条狗的回家路
15.78000,敌人的敌人就是朋友
3.27900,居然连六公主都不知道
12.10500,哈哈哈，二鬼子不如狗
10.19900,你的互动窗挡的那叫个严严实实
7.40100,这个互动窗反手就是一个踩
13.71400,我还以为要放追风筝的人
1.21600,还有敦刻尔克撤退
11.38100,看不到，被你的互动框挡了
1.83700,六公主依旧这么给力
10.27900,11秒，跳出来的选项完美把内容遮盖
12.13100,1
9.47900,2
11.35200,2
12.27100,2
10.85800,1
6.75000,2
11.33300,2
17.90200,杀人诛心！！
15.33900,杀人诛心
12.06000,共和国没有公主，只是一句调侃
15.38000,草。。哈哈哈哈哈哈
1.23200,好家伙
12.14800,六公主NB
6.20600,在排（放）片
11.56800,六公主是cxtv6
8.23100,再来亿遍
13.85900,这弹窗真的超讨厌
15.70600,哈哈哈哈哈哈哈哈哈哈哈
9.61900,"好家伙全挡起来了,我都没看见有啥..."
15.55500,哈哈哈哈
0.34300,杀人诛心
0.00000,杀人诛心
12.00500,哈哈哈哈哈哈哈
10.53300,CCTV电影频道
12.12800,哈哈哈66666
0.00000,果然6公主
11.77300,哈哈哈哈哈哈哈哈
17.90200,六公主，yyds
6.56700,六公主是什么？
15.05800,牛啊
15.75100,哈哈哈哈哈哈
15.07100,哈哈哈哈哈
0.00000,LAUV
12.44900,哈哈哈哈哈哈
9.91900,哈哈哈哈
3.49900,文体两开花
9.70900,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
17.29900,会玩
12.81900,哈哈哈
17.01900,hhhh
8.13400,开国大典
0.53100,六公主，我来啦
16.34700,哈哈哈哈哈哈哈哈
12.89900,哈哈哈哈哈  
12.83900,牛啊
16.57800,hhh
7.58300,哼～
13.59300,好家伙
16.54100,哈哈哈
8.38600,笑死我了
13.61900,哈哈哈哈哈哈哈哈哈哈哈哈
13.83700,哈哈哈
7.17900,噗！
1.22900,LAUV
17.91500,wc
4.85400,cctv6yyds
13.44700,哈哈哈
13.05700,cctv6
14.99600,？
14.86600,66666
15.90800,哈哈哈哈哈哈哈哈哈哈哈哈哈哈h哈哈哈哈哈
16.27900,哈哈哈
8.41600,:)
11.25600,草
7.78400,笑死
0.91100,我爱六公主~
16.29800,666
9.86200,666
1.15700,笑死
4.25900,一条狗的回家路
15.77900,美狗
15.29100,如果是14：28就绝了：你是二逼
9.94600,一条狗的归家路（米国）
8.92200,一条狗的回家路
14.43900,一条狗的回家路
12.47400,一条狗的回家路
14.86700,一条狗的回家路
15.49700,你的互动弹窗真蠢
3.21900,一条狗的回家之旅？
13.15200,一条狗的回家路
