time,danmu
19.07700,周师兄开的
1.04600,我想去这样实验室啊，氛围太好了
56.84600,哈哈哈哈，搬砖绷不住了
9.63900,哈哈哈哈哈哈杀人诛心
4.27100,零头亮了！！
84.54900,你永远可以相信二师兄
43.89900,小导好帅啊
83.41300,和两箱海参
9.53900,《零头》
43.92300,小导好可爱
43.80000,小导好佛哈哈哈哈哈
81.57900,周师兄
19.41000,周师兄还停留在开题啊
83.19900,好家伙，10只波士顿，2箱海参
83.71800,两盒海参
9.90600,《零头》
83.42500,2盒海参
44.94400,没错，小导的字幕时间轴早了半秒
83.54100,10只波龙，两箱海参
57.47500,《also good》
76.56800,不 是 我 想 卡 他（小导厉害了啊）
0.00000,咋混进去的，哈哈哈
56.18600,这里用错声线了哈哈，成了大师兄了
45.74200,超群标错了哈哈
9.62600,《零头》
3.13900,小导啊啊啊
43.57000,字变得有点快了
36.21000,我0
16.89900,我也有个很厉害的周师兄。。
0.87700,省流：不是主线
18.98600,小导牛逼！
82.41600,团建去鸿宾楼了哈哈哈
24.16400,但是他们只有4个学生
3.71000,翻译：放松
59.93200,不知道似不似同一个张老师～
57.10500,不对呀，超群成大师兄的声线，一鸣师兄的口音了
36.01900,超群怎么开始卷了。。。大师兄影响太大了
50.25500,去蹦极啊！
78.38800,周师兄：？？？
83.77200,《I do care》
77.05000,1w1字数的文章水了8k字
81.22800,不是周师兄
35.84800,鱿鱼游戏是吧
5.65900,小导，我催更
32.39500,哪怕只有200可太真实了
46.40800,鸿宾楼哈哈哈
12.75200,《也就博二》
56.01300,为什么超群是大师兄的口音
12.98900,哈哈哈让他耍 
78.79800,周师兄八千字致谢！！！那不是听我说谢谢你
74.75000,这个八千的致谢到底是怎么憋出来的
7.04200,哈哈哈，他说他要成下一任院长
82.54900,带走了10只波士顿龙虾
48.39800,我们去蹦极吧
9.08800,我们可以向前院长告状
42.15600,万一没做出来，老师通吃是不是？
1.68700,《made me angry》
9.31600,在校长面前告他
2.61100,大师兄非常生气捏
22.89900,超群出息了，会打探情报了
12.96600,他都不能晋升
81.02900,这还不如本科生写的论文，哈哈哈哈
49.63400,蹦极
83.77400,一条波龙最低600
80.79900,《鸿宾楼》
36.97900,winner takes all
38.96200,对赌协议？
17.01900,让论文再飞一会
42.39000,别骂了别骂了
26.12200,二十年前的老课题，本科生都不做
6.50600,哈哈哈，对我没威胁
84.02000,超群真能吃…
38.52800,狼性文化
80.92500,李一鸣干得好！
44.75300,一鸣没有镜头了，细节。
86.17800,哈哈哈哈哈哈哈哈哈哈哈哈
33.80000,败者食尘
82.95800,懂了，李一鸣是阿蒙(●'◡'●)
52.98200,agritainment 农家乐
16.53600,咋混进去的？？？
9.77900,哈哈哈哈哈哈哈哈哈哈
81.54700,？？？？？？？？？？？
29.56800,不急，和他耍耍
59.23900,《brilliant idea》英式幽默拉满
9.23900,哈哈哈
36.92700,太真实了笑死
76.83700,8k字致谢 hhh
37.79900,血战到底是吧
31.67300,200……
16.11400,不急，和他耍耍
85.40400,花了他们所有的资金，现在准备让你赔偿双倍
81.38500,昨天他们去鸿宾楼，懒鬼说他是周的学生
76.14000,3k字主体，8k字感谢
72.32200,那是为了学生，但是他学生真的不行
68.69700,又是为了点小事，没人鸟他
61.79000,脑子有包
59.90000,花钱受罪
58.49100,什么大聪明想的主意
55.81300,他们去体验农民的辛苦
52.38600,农家乐也不错
11.98900,十年
45.42500,我都烦鸿宾楼了
32.02300,就算只有2北
27.15500,为什么他们这么拼
23.36700,他们有8个课题这个学期
21.20900,不毕业都做不完
20.04500,老课题要做20年
14.62000,我不在乎
11.51900,就算我给他10年时间
7.28200,我不想再看到他
7.28200,当我看到他的时，他说他要当下个院长
4.93800,他对我们构不成威胁
1.65000,隔壁张老师让我火大
45.39600,怎么不打游戏了剪指甲了
48.55500,sth new
11.51600,十年与三年
32.14700,养蛊233
8.21100,next dean
32.44500,超群可以了
19.01200,一天去8趟 是去WC找的吧
62.86600,hhhhhhhh
22.69600,让他刷刷
28.65400,嘶，我帮别人抄法条都有三百块钱呢
47.88600,李一鸣为什么会这么清楚
57.07000,这衣杆一直都在
32.99900,韩国直呼内行
81.62700,还得是鸿宾楼
57.42900,那个念“tan qiu”
87.73900,哈哈哈
1.88500,Made me angry
9.29900,零头？
37.89900,败者食尘
54.66100,农家乐啊
59.17400,我这咋白屏了刚
40.50900,零和博弈
35.61900,007
18.57900,看这个要不停的暂停，太郁闷了。
78.75300,小导这么牛逼的吗
79.32400,3000主体，8000致谢？？？
3.70400,哈哈哈哈哈
20.14400,我靠20年
47.29900,小导一般带领同学们去鸿宾楼团建
34.81800,败者食尘
87.35100,哈哈哈哈
85.51500,混进去j可还行
88.40600,不愧是一鸣
5.34500,他对我们没有威胁
14.33500,零头啊
30.42400,、
2.89900,三连再看
87.86600,哈哈哈
7.89500,零 头
1.50600,省流：I don't care
45.31000,去鸿宾楼都去累了
24.88200,八个课题只有四个学生
20.97200,落后二十年了
9.37900,我们可以在院长面前控告他
56.03100,体会农民的辛苦生活
35.75100,没有良心
77.21800,3千正文，八千致谢
15.09900,那不废话吗，过三年正好博二
34.19100,一点脸不要
10.74000,零头
9.85900,？？？？？？？
40.99800,跟他耍耍
18.19900,再发一篇赶上零头哈哈哈
74.47500,危
85.89800,哈哈哈哈哈哈哈
60.08600,花钱买罪
19.08800,zhou？
54.50700,神他妈童年的感觉哈哈哈哈
33.95700,no shame at all
33.95700,这翻译绝了
5.71900,二十分钟前！！！
83.90300,你永远可以相信李一鸣
32.52500,养蛊是吧
77.27200,神tm写3千字正文8千字的致谢
32.83800,养蛊呢
60.78600,一毛不拔
7.02200,想当院长？？？？
4.16700,卧槽13分钟
32.34600,200！！！
80.50200,鸿宾楼
26.31400,007
10.86300,Ten years
84.89300,连起来了
7.10700,《他说他是下一任院长》
0.57700,省流：一鸣惊人
69.44700,超群口音吧
23.09900,热乎的
0.44100,省流：李一鸣杀疯了
10.14100,6min
77.28000,八千字的致谢？
41.41900,霸气！
84.17900,哈哈哈
83.96600,I don't care
55.45900,土木佬震怒
88.44400,一鸣惊人
0.28600,看到我你就不是第一了
