time,danmu
2.83200,天热不去发广告了？
11.79500,来了来了
11.94800,等着，这就顺着信号过来
5.60100,第三次
3.19800,可爱
12.55600,可爱
5.48800,可爱
2.36500,可爱
7.78100,可爱
6.43200,"[""642"",""189"",""1-1"",""5"",""小可爱霸屏！！！"",0,0,""551"",""247"",500,0,1,""SimHei"",1,""M196,209L198,209L200,207L202,205L203,204L204,203L209,201L210,200L214,198L216,198L217,197L219,195L221,192L224,189L227,187L230,185L232,184L234,182L236,181L237,180L238,179L239,179L239,179""]"
1.00000,"[""631"",""269"",""1-1"",""4"",""好看好看好看好看"",""0"",""0"",""3"",""266"",""3000"",""10"",1,""\""Microsoft YaHei\"""",0]"
1.37900,太好看喽
0.86900,"[""33"",""32"",""1-1"",""5"",""宇宙无敌可爱小陈同学"",""5"",""3"",""632"",""366"",""3000"",""10"",1,""\""Microsoft YaHei\"""",1]"
7.09900,只能说好看
1.91100,可爱界天花板
1.96000,又出新皮肤了
6.13900,可爱
2.55300,今天的传单都发完了吗？
7.62500,去发传单呀
4.65900,可爱
11.26400,可爱
3.68500,可爱
5.42300,可爱
4.77100,？？汉服忘记带了？
12.65500,传单呢？
8.53900,100可爱又好看
5.13600,来辣
6.42600,可爱的
3.86600,看到我说明你已经不是第一了
4.94100,好可爱
2.01300,可爱
10.52700,可爱
1.89900,蓝色的好看
4.37900,好看好看
2.82500,可爱
0.14500,可爱
12.69900,可爱
4.77900,可爱
3.19900,可爱
5.03800,可爱
5.77600,可爱
6.45900,可爱
10.32100,可爱
4.92100,可爱
7.58500,可爱
8.34600,可爱可爱可爱
6.26900,来辣来辣
5.78600,来辣
0.65900,红色的好看
4.82500,可可爱爱
8.60800,决绝子
4.15200,没传单没灵魂
2.29200,上链接！9.9秒杀铁笼一个！
12.79800,可可爱爱
0.07100,果然长得好看才能撒娇
7.00800,可爱
4.79900,可爱
12.26600,可爱
6.01900,好看好看
5.29900,好看好看
7.37900,可爱
5.21400,台风来了，暂时不要出门发传单，知道了吧？！
2.21400,可爱
3.10000,（♡▽♡）
1.24700,可爱
9.41800,可爱
5.76700,不务正业
5.37900,不务正业，还不快去发传单
0.66300,可爱
0.81900,太可爱喽
9.77900,太可爱了
12.62500,可爱
10.67600,可爱
11.41800,可爱
13.00000,可爱
9.05500,阿姨好《doge》
8.83400,转职了哎
0.14500,《 游 泳 健 身 了 解 一 下 》
5.59700,老婆老婆
2.24600,抓到你就嘿嘿嘿。。。
4.88400,干嘛呢？发个传单去 摸鱼逮到了吧
5.43300,发大柴
2.24600,强迫传单阿婆主
5.32400,你是谁？古装呢
2.80700,赶紧出去发传单
11.81900,大热天让穿汉服，你可真毒呀
11.45500,返滑回来给你点赞
2.77700,之前的风格挺好的，为啥要向“网红”发展，唉……
4.33600,怎么肥事
0.98200,买房吗？健身吗？
4.95500,口爱
4.52400,老婆
10.61900,老婆
0.21100,老婆老婆老婆老婆老婆老婆老婆
1.79700,老婆
2.05000,好口爱
13.00000,可爱
1.69900,老婆
2.15100,老婆
9.99400,老婆
1.08900,老婆
1.32400,老婆
7.78400,好看
1.19100,犯规了
1.84800,可爱捏
2.15300,口红促销了解一下
8.13900,90分可爱
7.73900,80分好看
7.21900,70分好看
6.71900,60分好看
6.25900,50分好看
5.85900,40分好看
4.65900,20分有意思
4.17900,10分可爱
3.61900,7分好看
3.13900,有点好看
2.01900,好可爱
12.49900,好好看
9.93900,可爱可爱
7.65900,好看好看
