time,danmu
223.25000,来感受一下什么叫镰刀铁锤的毒打（微笑）
195.82800,军报的豪迈，爱了
0.00000,宁 德 人 震 怒
47.16600,《网红》，不得不说这个词我喜欢
251.15900,集齐八大（）可获得骨灰扬诺夫一次。
181.20600, PLA选择直接涡轮苏卡。
159.09400,《顶     流》
51.64500,精共，精苏人震怒
233.70500,《怕什么》
231.82800,《怕什么》
21.07900,普天同庆，可喜可贺，太好辣
8.61600,喜  大  普  奔
48.15700,网红：不关我事啊！
237.97400,口径：指105mm
21.82500,普   天   同   庆
40.99500,作为一名与低幼儿童隔绝的军迷，认识西科斯基最新型CH-53XZ空间种马王（隔空怀孕术）从此刻开始，震怒！
0.44900,不是我不理解啊为什么能凑齐八大官媒？哈哈哈哈太搞笑了（doge）
42.37900,让你王牌部队！让你王牌部队！
287.84900,他         不        配 
250.32900,新        年        礼       物
229.84900,《就  一  家》
71.11600,偶像：有一定的社会影响力的      明星：指引人们前行方向的
135.95200,《卡大佐行为》
12.61900,现在看瞬间觉得up主那句显微镜真相了
139.55900,“我带着2000幻影走来了
10.74000,普•天•同•庆
54.54700,福安人狂怒 我才知道刻的是他
0.60000,普     天     同     庆
238.90900,统一的32磅炮口径
4.97300,皆 大 欢 喜
280.13700,总结一下：你们等着完球吧
104.27900,翻译:现在没空理你，等我闲下来的时候，就是你糊的时候
100.48000,决心：老子不干了，六魂花都打不过让我去搞这玩意儿
237.19300,真理的口径
41.00000,《网  红  姓  名》
59.58100,精苏震怒
40.71800,福建人握起了拳头
225.87500,460毫米的口径
8.02000,普 天 同 庆
240.28000,解放军：在设计范围之内，报告完毕！
141.54300,有种八大门派围攻光明顶既视感
255.20900,东风快递，使命必达
95.76000,低情商:等我空出手了就来收拾你
45.58000,富   春    花   园   行    动
194.57900,新闻联播:他不配
172.30400,我觉得下一步就是刑法关于这出新规定了[doge]
87.86300,“老师”
27.78600,开心的滴锣鼓，敲出年年的喜庆
281.97200,我们老师上课就用这个例子
251.98900,解放军：在设计范围之内，报告完毕！
259.08000,其实这基本相当于死亡预告了
166.10000,这个可以笑，确实是要用显微镜看
286.52600,他  不  配！
184.88400,你看看大校怼记者就知道军方作风了
239.54900,东风十五1000mm口径导弹
117.01200,废虾：我们丝毫不带怕的
235.24400,口径：.50 BMG
132.13600,社 会 性 死 亡
46.84600,这个“网红”就很妙
235.14200,口径：128mm榴弹炮
131.12100,超高校级的社会事件（狗头）
64.09200,精苏tm直接黑化苏修
105.79000,我很期待迪士尼加入战场
164.38200,你一直在笑 你明明就没停过
190.26600,哥哥怕是要进入央视新闻了
152.13900,校长你好！（像极了我们学校开会校长讲话 ）
146.59600,瞬间觉得莫名的厉害
184.32000,解放军霸气，飞机都敢乱刻乱画
194.79000,检查日报不懂法，hhhh
56.24000,精苏震怒！！！
103.26000,国家：本来不想掺和这些小打小闹，但给你们机会你们不中用啊
37.53800, 普 天 同 庆       皆 大 欢 喜
52.20000,精苏震怒
45.66300,福建人缩在角落瑟瑟发抖
177.34600,蓝星最强陆军の警告
100.45400,应该只有下锅的时候才意识到自己做了什么吧
141.30900,好家伙他一下子集齐
135.88900,妙啊，直接凑齐八大金刚
0.91600,解放军报：勿谓言之不预也
279.98400,意思就是：你们要玩球了
220.08700,哈哈哈哈哈哈 从娃娃这边掰直了
170.79800,"可以说是深受""重视“，快吹一波"
283.18300,up咱高兴归高兴，咱也稍微抑制一下你脸上控制不住的笑容和疯狂上扬的嘴角吧hhh
78.22500,向导（物理）
66.47200,网红太精髓了
190.44500,我的嘴角与太阳肩并肩
48.37900,这网红就很灵性
46.48500,吃瓜吃到自己省了，措不及防
49.08500,哈哈哈哈看重点“网红”
288.70800,他       不       配
151.74200,哈哈哈up主！拜托你稍微忍着点因为喜悦而上翘的嘴角
64.52500,精苏震怒！！！
104.35000,up这个掩饰不住喜悦的表情
69.28800,向导（物理）
89.61600,翻译:现在没空理你，等我闲下来的时候，就是你糊的时候
86.25400,这几句话就是指：现在国家腾不出手，过会就来收拾你们了
91.60400,翻译：等疫情过去看我怎么收拾你们打
71.29900,潜台词:疫情过后你就完了
63.37900,真的这群人，应该开除国籍，然后流放西伯利亚
245.21400,800mm古斯塔夫巨炮准备开火！
12.37900,他家粉丝尬吹:我们把哥哥撕成了顶流！
47.61600,人在家中坐，瓜从地上捡
237.01900,155制式口径
87.48400,流量明星只是某些资本的工具，一旦失去流量，就会化作一堆尘土，被所有人忘却
174.57400,沙头，沙头！
92.03800,你工人爷爷来了!
107.38900,国家队要登场了
228.57900,它演的《王牌部队》要上映了啊，咋整
253.67900,口径统一按东风走啊
211.25900,真相，看看现在国家的措施
272.19000,5.8毫米口径在像你们招手
164.67000,歪嘴战神hhhh
285.33800,好家伙，杀人诛心，干得漂亮
289.41400,他           不             配
71.88400,精苏震怒
42.55300,福建人震怒
125.20000,得共青团吹响号角
62.74100,精苏表示波波沙在哪
36.35100,可喜可贺，普天同庆
290.00000,精      准      定      位
208.16000,等到了等到了已经发通知要全面整顿了
30.10000,今天是个好日子，心想的事儿都能成
57.28000,精苏暴怒！！
285.99600,哈哈哈哈网红就绝了
167.50000,出现了耐克嘴 哈哈哈
112.79600,黑转碳 哈哈哈哈哈哈  可爱
79.71300,天呐小孩子都开始祸害了
43.24000,普天同庆，我今天就去放鞭炮
158.60000,娱乐至死的青年人是时代的悲剧  我们必须改变
238.22500,口径即使正义!
37.83000,普天同庆，可喜可贺
175.06000,使      命       召      唤
287.15200,他！不！配！
3.92500,什么叫国际巨星啊（战术后仰）
208.81600,兵哥哥威武！
50.17300,精苏震怒！
244.22200,182.9mmHEAT装填完毕，请求开火！
100.26400,xz粉：不怕！下次还敢
273.79500,军报啊，哈哈哈
167.89700,嘴角疯狂上扬
50.93100,《网红》
29.11900,本肖姓人士：？？？
276.49000,虾  仁  猪  心
114.27800,等疫情过去了，我们就腾出手收拾你了。
104.58800,哈哈哈国家队参战
53.22900,米高扬——格列维奇震怒
91.70800,背后什么意思还不知道吗哈哈
204.32000,不愧是解放军！！
22.74200,正 道 的 光
145.66100,《载入史册》
87.51400,福建人瞳孔巨震
98.05400,精苏狂怒！！
143.49500,质疑检察日报让一个法学生很生气啊啊
268.28500,也就是说怒气越来越大了
34.70100,怎么不放“好日子”呀哈哈
257.50400,国风美少年难道就是国家出的方案之一
266.77600,解放军报：勿谓言之不预也
64.40800,可喜可贺 普天同庆
265.35500,爱国要从娃娃抓起
114.05900,希望孩子们能真正树立正确价值观！
19.33000,恭喜恭喜可喜可贺可喜可贺
287.87000,他！不！配！
17.57900,解放军报你能拉到，你也是个人才
76.47800,《追星要从娃娃抓起》我就想问一下这对国家有什么用吗，真的是司马的后代
264.77800,999口径:喵喵喵
34.51200,集齐七颗龙珠该召唤神龙了
8.98000,可喜可贺可喜可贺
273.60000,一个个听的比网课还认真
237.40000,追星的我有点慌了
162.06400,up嘴角飞起来了
83.47500,这是头一个集齐了八大龙珠的明星。
61.17100,想要这个图哈哈哈哈哈哈
94.85700,翻译:现在没空理你，等我闲下来的时候，就是你糊的时候
187.41900,提气！提气啊 ！
30.72700,肖   禁  
253.17600,有了更坚定的信心支持抗疫工作者了，除了希望疫情早点结束，还有xz割割快点糊还我lofter
68.80700,精苏震怒
140.90300,排面们，把公屏打在兄弟上！（doge）
35.66000,可喜可贺普天同庆
53.13200,精苏狂怒
226.11300,就一家？这个质变已经不可能用量变搬回来了，顶天了属于
160.13500,什么叫TMD顶流
135.99900,实不相瞒，我们中考的时候真的考了的
146.53800,“顶流”的牌面
18.15100,普 天 同 庆
62.78700,精苏震怒
161.24100,这个应该是第一个获此殊荣的流量了吧
289.32500,他！不！配！！！！！
103.68000,肯定没有，它们都活在外太空
28.64000,所以说他们也是够牛批的，真没见过这种大阵仗
36.01900,喜大普奔哈哈哈 恭喜恭喜，
51.05900,米高扬设计局：你配吗？？？？？？
104.66000,可是它可是它又复出了，又有新剧啦
9.24300,把公屏打在正道的光上
204.05900,我们不要打压，我们只要求彻底剿灭小癣肉冥腥
129.79700,老铁，你怕是要挨骂哦
229.25800,就    一    家    怕    什    么
245.09600,东风快递  使命必达
138.80600,嘤嘤嘤 哥哥一定会咸鱼翻身 ，翻到锅里去的 
95.37600,*这绝对是决心被黑的最惨的一次
98.23800,东风快递即将抵达
278.37700,一开始的关注点
228.45900,正道的光
174.70000,这个笑容妙不可言
290.26600,他！不！配！
216.55900,正道的光
242.12400,口径最大东风快递
273.05100,是呢哈哈，毕竟是最后的通碟了呀
182.78500,这个说的对呢哈哈
206.10200,蓝星最强陆军的问候 ！！
85.49000,00后女生风评被害
287.62200,冲up主这句话，我一建三连了
272.65400,召唤新闻联播
203.47400,正道德光照在了大地上。
266.50100,意思是疫情完后肖战你带着你家粉丝等着凉成冰凉块儿（冰块）吧
56.92000,这个真的不能忍，他何德何能
222.57100,直接给你掰折了
286.83000,他 不 配
164.86000,我送给国家个高倍显微镜
183.71600,歪嘴战神哈
38.14800,正道的光
235.30000,随便哪家都不是一个流量明星能惹得起的
42.61100,注意：是网红，不是明星，更不是演员
75.54000,我直接拉车大中华在村口放
6.19800,正道的光
95.46000,哦我悟了，怪不得每天好多正能量视频
