time,danmu
11.03500,每日叙利亚悍妇（1/1）
10.85900,衣服上的印花总让我感觉是不是熬夜熬的眼花
85.51900,《吉巴罗》
29.14700,这头上是咋长滴脚气捏（doge
105.77900,每日一肘（2/1）
47.25200,每日一肘（1/1）
89.07800,哈哈哈哈哈哈你闺蜜
19.41100,《可口可爱》
106.18800,可以去歌舞团了
98.91500,一系列最好的一次
91.17800,阎王爷见了都要哭着回去找妈妈
80.63100,《东京奥运会开墓式》
84.51900,《元歌》
83.80900,《隔壁的泰山》
35.65900,原来是朱重八呀（doge）
91.63500,比上次那个跳得好哈哈哈哈哈哈
66.29400,卧槽哈哈哈哈哈哈
91.21900,牛爷爷哈哈哈哈哈哈哈
0.91900,《每日一离》
35.71000,小鞋拔子哈哈哈哈哈哈哈哈哈哈哈
72.42500,卧槽…猝不及防！
73.95300,好像牛爷爷啊我超哈哈哈哈
47.11900,感到了不适&lt;(￣3￣)&gt;哼！
35.65900,小鞋拔子哈哈哈哈哈哈
30.49900,这个衣服咋这样式儿的啊，头好晕啊
12.53000,《亿点》
48.32000,每日一肘（1/1）
91.80000,怎么忍住不笑的哈哈哈哈哈哈哈
55.71900,每日一肘（1/1）
31.09900,他可以一直比喻的
12.07500,《斯文》
88.99300,里面肯定是牛爷爷！（确信！）
36.85900,小鞋拔子哈哈哈哈哈哈哈哈哈哈
64.87200,《潦 草》
94.52500,《智慧的眼神》
79.77900,买了一箱，敏感肌也能用，孩子很爱吃
99.83300,居然跳的真的挺好的
36.89900,《小鞋拔子》
61.41400,吓我一跳哈哈哈
63.27900,《可爱》
16.66500,好家伙，都想好口味了
68.26700,我靠哈哈哈哈哈
7.43900,完全没有瓶颈期
92.05300,我甚至已经开始觉得她跳的挺好看的了（
80.57900,每日展示（1/1）
101.99300,每日一咱（1/1）
61.79500,卧槽哈哈哈哈哈哈哈
62.78700,哈哈哈哈，《东成西就》
71.03700,不对劲
93.57900,卧龙凤雏
88.97900,嚯哈哈哈哈哈笑不活了
71.13900,不对劲
64.56700,哈哈哈哈哈哈哈哈哈好像牛爷爷
1.45900,每日一离（1/1）
62.61200,优雅
81.62200,《吓人·人鬼情未了》
1.43900,《坑闺蜜区UP主》
5.25900,我好开心，又看到你们离婚了，耶耶耶！！！！
96.23900,右下角哈哈哈哈哈哈
101.15000,《咱》
71.73100,不对劲
49.49200,每日肘击（1/1）
46.50500,每日一肘（1/1）
68.49900,猝不及防啊喂！
107.06500,每日一肘（2/1）
72.25900,不对劲
64.03900,是狂暴董卓！
49.29900,每日押韵一肘（1/1）
69.16100,woc太突然啦。
34.15100,《可爱》
107.27800,每日一肘（2/1）
101.26600,《咱》
63.53900,《可爱》
38.29100,哈哈哈哈哈哈哈都好形象怎么回事
33.27600,新的比喻增加了
65.02000,《可爱》
23.91900,哈哈哈哈哈哈哈每次都能笑死我
34.28100,《小鞋拔子》
43.08400,《程序员》
57.54000,《打个电话》
48.82000,每日一肘（1/1）
45.04600,每日一肘（1/1）
20.26200,《 炖 了 》
49.79900,每日一肘（1/1）
15.62000,《斯文》
12.49900,他比喻一直可以的
46.65000,每日一肘（1/1）
21.47300,《意犹未尽》
106.88800,每日一肘（2/1）
47.81300,每日一肘（1/1）
76.44700,不对劲
69.82100,不对劲！孩子快跑！
65.46300,《潦草》
66.35700,《 替 身 使 者 》
88.09900,东京奥运会开墓室现场(doge）
20.35000,wc！都三十万粉了，我看的时候才三万多
14.69900,《斯文》
8.73900,他比喻一直很在行哈哈哈哈哈哈哈
48.61200,每日一肘（1/1）
17.17900,《亿点》
83.83900,C!
72.97500,不对劲
13.11900,涨粉狂魔
13.72800,离婚了十二期（狗头）
1.85900,省流：每日一我不管（1/1）
0.53900,省流：每日一肘（1/1）
93.76300,哈哈哈哈小鞋拔子生无可恋
69.99100,呀咩诺！！！？
87.88100,昨天还在看这个李贞贤的视频，我们心有灵犀吗
92.97900,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈你们想笑死我啊！
66.83900,《可碍》
58.81900,《它》
82.51500,后排疯狂憋笑中
72.16900,焯！
97.01200,小亮快来
21.70400,朋友=好吃的
106.97200,牛爷爷！
11.29900,他比喻一直可以的
95.73900,程序员完胜
97.58500,《埠猝》
74.57700,《我们仨》
89.97900,《眺武》
0.89700,每日离婚（1/1）
85.99900,《爱死机》
81.43700,来小亮给大伙整个活
90.72600,《牛爷爷》
80.72400,《跟招魂似的》
32.46800,划重点：小鞋拔子
72.48700,就知道更新的怎么这么快乐原来是为了广告
96.05500,牛爷爷限定皮肤
67.31200,不 对 劲
103.85200,可是她掉头发呀
6.88900,他比喻一直可以的
61.03100,牛爷爷全新皮肤
31.65500,《伺候慈禧》
18.12800,还差个五香的（doge）
78.18300,《哥仨儿》
25.91500,《意犹未尽》
0.00000,省流：有全身长头发的牛爷爷
105.86500,每日一肘2/1
73.77900,甲方：总之就是非常后悔
100.09400,《翩若惊鸿》
73.65900,不对劲buf
28.13700,《聪明》
44.10200,每日我不管（1/1）
100.30500,《翩若惊鸿》
23.99700,《意犹未尽》
61.30000,《潦草》
22.03300,《意犹未尽》
23.97900,《意犹未尽》
30.26000,《伺候慈禧》
22.17500,《意犹未尽》
17.53000,《撕文》
23.39500,《意尤味尽》
16.35600,我头晕了
22.39700,《意犹未尽》
11.77900,他比喻一直可以的
13.34500,《一点》
22.99200,《意犹未尽》
93.58600,后面的表情
23.61600,《意犹未尽》
44.30700,程序员震怒！！！
45.75700,每日我不管（1/1）
13.60600,《 撕  炆 》
10.66500,他比喻一直可以的
47.79500,每日肘击1/1
47.09300,每日我不管（1/1）
103.59500,其实也掉毛
22.98000,《意犹未尽》
13.78000,《一点》
26.68600,朋友，好吃
27.91900,养只俄罗斯大仓鼠算了
12.82200,《大了一点》
46.43900,《程序猿》
12.20200,《撕文》
14.69500,《大力一点》
46.17100,每日一打
45.18000,《程序猿》
63.95400,哈哈哈哈哈哈哈哈哈哈
104.41100,怎么忍住不笑的
84.93900,舞就不看了吧，三连留下，先走先走
68.90500,牛爷爷是你！
0.70700,又是《咱媳妇》
59.99900,川建国
41.15900,还挺可爱
73.64500,猝不及防
72.27900,猝不及防
49.89900,每日一肘
78.75500,[前方高能]
89.43300,这是牛爷爷吧
63.70200,《骆坨翔子》
15.85600,这个衣服看的我头晕
93.61900,建国以后不许成精
70.80200,猝不及防了
74.03900,开始说胡话了
26.05900,意由胃进
19.33900,哈哈哈哈哈哈哈哈
69.79300,健国
21.11200,T恤前面的字母好晃眼啊
69.13900,哈哈哈哈哈哈哈
22.45300,别说了，我都流口水了
85.57800,开恰
106.81900,按摩拳
4.77900,离婚区up主
70.37900,让他恰！！！！
70.37900,让他恰！！！！
0.41900,省流：有广告
66.47800,大嫂看起来是不是有甲亢
76.69000,哥仨？
1.19500,省流：媳妇不掉毛
77.71700,建国后动物不能成精
21.19900,哈哈哈哈哈哈哈哈
76.44100,措不及防
