time,danmu
4.79900,《快把我哥带走》啊哈哈哈哈哈哈哈
4.11900,快把我哥带走哈哈哈哈哈笑死了
0.98000,亮点是快把我哥带走吧哈哈哈哈
3.68700,利刃出鞘哈哈哈哈哈哈哈哈哈哈哈哈好救命
4.45900,快把我哥带走哈哈哈哈哈哈哈哈哈哈
4.52600,《莫斯科不相信眼泪》
0.99500,笑死了哈哈哈哈哈快把我哥带走
2.31600,永远可以相信六公主
5.09900,开打时候是利刃出鞘
3.75900,把前因后果完整的说了一遍
0.83000,《利刃出鞘》
2.84300,《无 国 界》
4.14700,宛城之战是曹操张秀吗？
8.05000,无国界——俄罗斯
6.80300,最后这个无国界。。。。
2.72900,《无国界》（最后一行，哈哈哈
4.65800,快把我哥带走，喜提一分
4.64600,快把我哥带走，笑死
4.37900,十二生肖
2.79600,无国界
2.79600,未知嫌疑人
3.29500,美国利刃出鞘 俄罗斯无国界
4.90300,这个电影不久前才看过，黑色幽默
6.05200,未知嫌疑人？现在已知了就是美国病毒
5.38300,无国界
1.33500,快把我哥带走2333
4.52800,玩明喻暗语的大高手
3.43100,无国界！！哈哈哈哈哈哈哈……
2.56800,快把我哥带走
8.47900,快把我哥带走
4.85900,《无国界》
1.73200,哥快把我带走
7.73900,哈哈哈
