time,danmu
54.41900,此处应该来一句“焯！”
256.00000,2022届毕业生默默走过并投来欣慰的目光
169.22400,她叫我哥们，她心里有我（doge
62.44600,遭～不～住～啊～～～！！！
91.27400,法学生一星期一本法典
75.67200,有泸溪河那味儿了（doge
93.85400,哈哈哈哈哈还有医学生
27.79300,《考试破防周翻牌版》
24.87100,《考试破防周翻牌》
52.69900,我也这样过 我考完最后一门直接气笑了
126.71300,有趣的灵魂哈哈哈
149.25900,有那种考科目一前一晚上通宵刷两千题的感觉了
134.31300,大学：大不了自己学
53.51500,怕的不是一周考完十科
24.94900,不熄灯的神仙寝室
122.49600,《挥斥方遒》
121.87900,大学老师大部分根本不会讲课，即使是个博士学位
241.89200,真的很高兴这样认识你
16.16200,姐姐好漂亮！！(歪楼)
59.13900,好拽好喜欢
196.89900,考试周莫名其妙有动力了
17.14000,优雅，实在是太优雅了
123.73800,跟莫宝刚好凑一对哈哈哈哈哈太可爱了
1.68500,谢谢，我很喜欢
86.50000,手机：你清高，你了不起
44.81900,我们一天考三科，概率论，线性代数，近代史考到晚上9点！
87.44100,或许医学生可以发一下言吧……我TM曾经一星期背十本比板砖还厚的书
164.95900,我这个也憋不住了，一毛一样
231.63400,莫宝附体了哈哈哈哈哈
52.30800,我怎么听成了一周挂完十科（doge）
11.41900,考试破防周指定饮料
78.14600,哈哈哈哈哈哈哈这比喻笑死我了
49.21900,她欣慰的笑了
6.71100,不是热带风味冰红茶不是很认可
51.88100,这笑容太入味了
96.88900,莫姐出现了哈哈哈哈哈哈哈哈
129.85900,打点计时器
109.01500,哈哈哈哈哈对不起我笑出声了（
41.77900,哈哈哈哈哈哈哈哈《数字电路》
70.84500,四川，重庆地带的口音
101.59800,说，是不是偷偷看莫宝视频了doge
99.42300,哈哈哈莫宝即使感
71.75900,高中生表示不理解为什么会为了及格而苦恼
226.44500,全是感情，没有任何技巧
98.66000,这也太莫宝了hhhh
103.63100,医学生默默划走
196.77600,好好改造，重新做人（doge）
65.52200,哥们遭住了，考完了怎么说
101.39900,平时学也。会。忘。啊！！
97.91700,你不和莫宝凑一起真的了
93.52300,医学生，一天一本书，现在已经要疯了
115.80800,她真的有点可爱
48.97900,明明很怕，但是看起来好拽哦doge
144.14000,室友挂了八课依旧拿到双证
55.77900,我们专业一周一门，从最早结课拖到最晚放假
10.41900,放荡不羁的小拇指，哈哈哈哈哈
25.94500,优雅，实在是太优雅了
95.81900,理工科也背书不要问我怎么知道的
93.94400,“哎呀莫宝莫宝”（doge）
248.38200,一镜到底，好评！
85.13000,考试又不是考默写，考默写我给你背出来
61.97700,莫名像罗翔老师
235.21400,我得到的不仅我得到的不仅是一个教训～bushi
151.37900,后面还有个钢琴哈哈
78.27700,这句是真笑了
5.96500,热带风味冰红茶（
36.53900,边看球边看书，效率可高了
54.04700,这小表情我好爱
81.55200,莫宝莫宝，怎么戴假发了哈哈
118.50900,真实，之前学的全忘了
28.29900,怎么是这个声音 突然搞笑美女了
81.93600,哈哈，这比喻绝了
37.93900,大佐那个笑死我了
181.45900,幸好学位证到手了
174.93900,学位证到手了
85.66200,额滴圣剑——
146.61900,这句话咋这么像罗老师哈哈哈哈
99.75900,怎么跟莫宝这么像……？
86.61700,其实学医的比这还离谱
54.20700,我两周考完六科(doge)
7.69600,汪汪好漂亮
169.55900,考试周要交三个设计！！！
82.94000,医学生狠狠共鸣了
124.12700,叠叠词词
93.81000,法科生笑而不语
231.23000,眼神茫然无神
79.71900,哈哈哈哈哈哈哈真的太贴切了
118.95000,PPTeacher[dog]
23.41900,宿舍居然还有电！
241.58100,多少带点哭腔
139.23900,我喜欢这个灵魂
119.40600,众所周知，大学生都是期末学一整本书
85.55600,《灯火通明》
50.35900,两天内外，woc背的一题没考
8.68200,不是热带风味冰红茶我不是很认可
100.67000,我们专业第一平常认真学 期末照样通宵背
45.01800,想刀一个人的眼神是藏不住的
144.17000,你倒是告诉我怎么办（Doge）
99.62500,我说漏！！！
190.21900,好耶好耶（doge）
35.37900,我们学校很贴心，期末周不熄灯，我可真是太谢谢了，温暖四季啊
81.29900,医学生表示彼此彼此
27.35900,这个口音哈哈哈挺可爱的
85.53900,今天一天背一本书把我脑子都背卡机了
89.70500,摄像头：你礼貌嘛？
72.61900,代入感很强我已经开始紧张了
108.87900,这是重庆话吗哈哈哈哈
83.53500,为什么这么像罗翔啊哈哈哈
50.59400,这不得起飞喽
2.41700,仔细看，旁边是热带风味冰红茶
185.31600,《 嬉 皮 笑 脸 》
83.32300,哈哈哈我可太喜欢姐姐这种风格了
191.53600,想刀一个人的眼神是藏不住的(bushi)
212.23300,神智不清（doge）
91.09100,医学的书可以去背背
62.17000,表情逐渐离谱
171.56300,论文代写找我
16.93900,那么就到此为止吧
0.00000,考  试  破  防  周  2.0
88.39600,平时但凡学一点
136.64300,我以为要说看个五分钟，睡懒觉俩小时
87.69900,对对对！！极限背书！！
150.45000,今天还能睡一觉
50.13900,绷不住了哈哈哈哈哈哈
47.57900,科目一二三连着考吗哈哈（doge）
66.67000,虽然很心疼，但是真的很好笑
121.42900,ppt好真实
120.29100,笑死我了
33.41100,《温暖》
85.61700,怎么咂我脑壳上了
56.53900,想想高中三天考完7科的日子，是不是更难过了
233.18900,哈哈哈哈哈
47.24400,这是什么学校 我14天考7科
14.67600,居然不是热带风味冰红茶
65.15900,没事没事，学医更惨
51.91900,来合工大，一个学期20周
173.81800,头昏昏沉沉的
85.99900,没事，理科医学生同样如此
77.45900,她好拽我好爱
78.41600,哈哈哈很形象
21.47900,已经放假二十天了
93.02900,这句好像罗翔啊
137.31900,PPT太经典了
101.47800,哈哈哈哈莫宝
171.80000,中财大一9门考试+4篇论文/报告，我熬出来了
18.07900,姐姐长的好牛逼
67.81900,还有考研回来接着要期末考试的时候
98.43800,莫宝既视感
10.85500,理想的成绩：59.5
183.09900,感觉像是潮汕人
50.03300,一天四科…
66.82500,姐姐这是喝了？
192.02000,为什么能这么好笑啊哈哈哈哈哈哈哈哈哈救命
20.94500,好可爱啊，哈哈哈，关注了
85.38100,医学生表示无所畏惧
100.74600,哎呀莫宝莫宝doge
75.42600,大佐
26.05900,这颗美人痣我爱了
52.21900,我们高中生一天考六科（doge
