time,danmu
14.13900,《我 不 认 同》
27.45200,《不需要应援》
16.49900,《  我       不      认      同     》
24.01900,记住这个《我不需要应援》
8.84900,《   我   不   认   同   》
11.65900,《真·楚楚可怜》
20.47700,《我不认同》
20.47700,《我不认同》
20.47700,《我不认同》
20.47700,《我不认同》
20.47700,《我不认同》
20.47700,《我不认同》
20.47700,《我不认同》
12.01900,《我不认同》
12.01900,《我不认同》
34.55900,《我不认同》
13.06400,传世经典之《我不认同》
43.81900,《我   不   认   同》
27.27900,《我   不   需   要    应   援》
9.17900,《我不认同》
30.12000,《 我 不 认 同 》
36.82600,共青团：你在教我做事
42.57900,《我不需要应援》
14.86500,《我不认同》
15.31800,《我不认同》
44.07100,《我不认同》
50.32000,《我不认同》
6.49900,wc，怎么不打码，吓我一跳
2.30200,救命，居然莫得马赛克
32.61400,青团：打死你个不认同
25.67500,应援粉丝：我是大冤种
13.41900,任由粉丝伤害其他人，成就自己的顶流之路
48.79200,《我不认同》
20.94600,辽宁：你怎么回事？
12.64900,《我不认同》
26.08600,来自官方的亲切问候
32.67900,《我不认同》
18.37900,《我不认同》
8.89500,《我不认同》
9.48000,《不认同》
9.07900,《不认同》
32.36000,《我不认同》
21.95500,《我不认同》
12.58300,笑死，背过气了啊哈哈哈哈哈
1.55900,我不需要应援这句话最搞笑
15.75900,《我不认同》
51.00000,22年的我来看看笑话
42.50000,《我不认同》
13.35900,《我不认同》
9.29900,《我不认同》
46.16900,《我不认同》
13.33900,《我不认同》
10.24600,《我不认同》
16.56500,《我不认同》
20.12600,《我不认同》
24.13700,《我不需要应援》
8.84900,《我不认同》
25.25900,压迫感拉满（误）
45.48700,《我不认同》
3.25900,这背景忒牛B了
37.61300,出事前不代表应援
34.23500,追星的人就喜欢说我自己的观点
7.33800,弹幕护体
15.69900,他是不还觉得这样挺宠粉丝的
13.73900,666
8.92500,甩锅大师
19.84900,好耶，看到了自己家乡
44.37900,巜我不认同》
11.74600,马赛克呢？
29.60800,这咋还电摇起来了
21.12000,我滴家！
20.14700,辽宁支棱起来
15.55700,可是有时候粉丝疯狂起来也很可怕根本控制不住啊
41.57700,哈哈哈哈哈哈哈哈哈哈哈哈
38.41900,就是一个被资本包装的消费品
32.05900,不认同
19.78200,吉林人终于站出来了！！
44.74400,因为他只能做好自己啊
18.41100,山东排面！
18.20000,给给
43.02300,█████████████████欢迎复制████████████████肖战必糊████████████████
29.21200,看到了吧粉丝，你们在你们哥哥心里就是随时可以被舍弃的
32.21900,小学生粉丝和她三十岁的割割
24.88700,萝    卜    蹲
36.36000,自己打自己脸，笑死
8.52000,瞧瞧它这个发言，我就知道在它粉丝没干到惹怒生物圈之前他都不会发声
20.05900,他不认同管理这个词，是说的是偶像与粉丝之间是平等的一种关系一种地位而不是说谁去管理谁
11.62100,追星有什么好
37.50100,█████████████████欢迎复制████████████████肖战必糊████████████████
36.86000,█████████████████欢迎复制████████████████肖战必糊████████████████
16.55300,肖战必胡
40.76300,█████████████████欢迎复制████████████████肖战必糊████████████████
12.04900,???不认同，是想让你粉丝闹上国家吗???！
20.37800,我们大吉林NB
16.51200,呵呵，呵呵，呵呵
11.62500,你！ 为 ！什 ！么 ！不！打！码！
28.81900,我不需要应援，我需要钱。。。
27.69900,乐
11.90700,UP整活失败，打到自己脸了哦？可能也没打到，本来就没有的东西怎么打的到呢……
2.44500,22年了，肖战还是顶流里的顶流，就说这是你们想要的吗？
48.37900,管理这个词真的很奇怪好嘛
46.37900,这不是管理，这是引导
37.75500,你也知道
9.45900,肖战必糊！
42.02400,█████████████████欢迎复制████████████████肖战必糊████████████████
44.52000,请你们听我狡辩
37.04100,█████████████████欢迎复制████████████████肖战必糊████████████████
36.35000,傻呗
39.54900,这是规劝 啥也不懂就硬黑 
6.32100,你干嘛~。。。哦？不是CXK啊
13.78300,s b
5.61900,弹幕护体弹幕护体弹幕护体弹幕护体弹幕护体
14.97900,你是个寄拔
12.09900,通过粉丝拿了钱，又不想为粉丝担责任，想得到挺美
13.86600,萨日朗萨日朗萨日朗萨日朗萨日朗萨日朗！！！！！
11.25900,应该打个码
26.54600,不认同就滚
30.43400,垃圾
23.66100,完犊子
16.47900,所以他选择躲在粉丝身后
34.48500,洗眼
10.42800,看著這嘟脹臭嘴就想把他給斬了
19.32600,肖战必糊
47.21900,把视频放完呀，纯纯无语了
22.86700,装哥
7.48600,别特么装了 希望哪天你被私生弄死
7.97900,说引导会好一些，但是他哪个都不沾边
7.29300,打码打码啊，我的眼睛。
15.26200,ZZ
13.83900,？？？？
2.73900,吃了粉丝红利，还不认同管理粉丝
14.77900,弹幕大伙努努力，把他这张bi脸挡住
13.08700,不认同偶像(º﹃º )
31.25100,█████████████████欢迎复制████████████████肖战必糊████████████████
30.22500,█████████████████欢迎复制████████████████肖战必糊████████████████
30.10300,█████████████████欢迎复制████████████████肖战必糊████████████████
29.16900,█████████████████欢迎复制████████████████肖战必糊████████████████
14.37700,█████████████████欢迎复制████████████████肖战必糊████████████████
13.60500,█████████████████欢迎复制████████████████肖战必糊████████████████
12.11200,█████████████████欢迎复制████████████████肖战必糊████████████████
6.34200,█████████████████欢迎复制████████████████肖战必糊████████████████
38.24000,meng huan
6.88900,换位思考一下站他的立场是对的但是那种小对错不是大义 偶像应该给粉丝竖立好一些个美好的形象 这才是正确的不认同 和管理粉丝
0.51900,必糊
33.16500,昨天晚上我的低血压终于治好了，但是变成高血压了
30.48600,所以  应援  这个词什么时候开始有的  后面又变成应援团
2.96800,偶像：我有得选么？资本：啊~对 他能选么？
17.21900,肖战成了各大品牌代言人，粉丝猖狂的说是自己成就了哥哥的顶流之路
9.31900,啊我的眼睛我要挂眼科
14.67200,《靡靡之音》
20.91700,共青团中央呢？！
36.97900,以我们geigei的脑子，说出这种话很河里
2.13400,看背景，都TM反了，肖战工作室p视频都不会
33.75500,官媒：你挺猖狂的你
