time,danmu
73.47800,那就说明可能有24家大型银行评级只有5
10.87100,对恒大放款的银行没毛病
31.85900,一个外国记者，问这个好吗？
115.60000,为什么不取消他们的金融业牌照
49.84900,《安全边界》
78.22700,这个也没回答到关键点啊
34.69900,又开始写申论八股文了
13.44800,《安全边界内》
82.85500,外媒:你在说什么呢？
30.80100,这位记者的提问很关键，必须支持一下
110.31200,重点来了，记笔记
9.35300,我靠，终于问到点子上了
40.27200,听来听去就三个字：假大空
26.95200,《积极配合》
19.40200,记者问的很克制，官方回复很敷衍
31.74300,《积极配合》
31.77900,“积极配合”“稳妥应对”
29.30500,《积极》
62.69600,总结：非常好
49.32000,听君一席话，如听一席话
47.73800,1％刚好蹦出来了是吧
33.79000,积极配合
72.42500,外国记者：说半天说了什么啊？
36.46700,积极配合
92.90600,记者：你答的跟我问的有什么关系吗？
41.78700,积极配合
42.02000,积极配合
34.97900,积极配合！！！
38.61800,积极配合
41.04600,《总体》
2.21700,安全边界内
119.18500,《但是》
35.17500,《积极配合》
26.51300,这个记者很可以！
44.26000,积极配合
28.21900,积极配合
81.40400,《怎么样，我们牛不牛》
28.77100,积极配合
71.99000,积极配合
33.04300,积极配合
34.43700,积极配合
31.53400,听君一席话，如听一席话
31.17800,《积极》
35.32000,积极配合
43.19000,积极配合
96.86000,好词，压舱石，学到啦
37.75800,积极配合
118.14200,《但是》
36.78500,积极配合
35.59900,灵活配合
38.74600,多多灵魂拷问
29.37900,《积极配合》
29.61600,《积极配合》
50.63700,积极配合
29.89800,《积极》
29.64800,《积极配合》
33.36100,积极配合
28.85900,《积极配合》《稳妥应对》
116.76700,《仅》
112.95200,《但是》
35.80700,居然还有稳定局
43.99100,积极又稳妥。
36.71400,积极配合
36.77700,公务员面试回答满分答案
48.58400,安全边界内
39.63900,《积极配合》
33.48100,积极配合
121.89700,《但是》
75.71800,什么叫自我评价啊（战术后仰）
49.52200,《可拉倒吧》
39.81900,500亿是可控范围内的损失？
37.30900,《安全边界内》
8.51500,回答了一个寂寞
119.65900,对恒大放款的银行，查啊！
111.28900,《但是》
29.31900,感谢这位记者
9.77900,境外记者
75.36700,有一说一我看不懂但我大受震撼
34.81800,积极配合
56.76100,哈哈哈。为什么大家都在笑啊
80.04100,记者听懵了，哈哈哈
31.23800,积极配合
58.74500,自己给自己评哈
35.92100,换换吧，我都预判了你的走位了
32.73900,积极配合绷不住了
27.88100,bbc偶尔的神
13.42600,感谢这位记者
82.49300,所以是怎么处理的
