time,danmu
2.60200,没有技巧全是感情
13.89900,好心分手
13.90500,《好心分手》
17.38500,卡粉了
4.70800,下次唱分手快乐
14.34600,好心分手
12.13900,好心分手是吧
7.83400,这个塑料粤语广东人受不了了
2.09500,这女主角好看
18.16900,这难道不是四首歌
20.68300,你还真敢接啊！
10.60500,这里有人睡觉！
14.42300,这种时候秀塑料粤语
13.09100,领导好漂亮
20.43300,我给她求婚她都会答应
14.36900,啥啊这是……
17.25500,统统不要好过？
15.25300,通通不要好过
15.49900,这首歌都留不住你？（自信）
19.33900,来年岁月那么多
9.54600,拉扯
7.20600,好心分手？
14.86700,通通不要好过
15.87700,哈哈
15.10200,难道是 通通不要好过?
17.78900,什么鬼，没懂起呢？
0.42500,好尬不敢再看第二遍
10.91200,你家还有第三人？
2.93600,这女主是真的wonderful
14.25100,？？9
1.13900,嗨哟，还真跟领导结婚了。
1.97900,太美丽了
1.81500,游泳健身了解一下
0.64900,这么尬的台阶都下了，是真爱了
19.96700,你不要过来啊
14.93900,哈哈哈哈哈哈哈哈哈哈哈
2.30500,成女祢豆子?
0.48700,让这女的尽快联系我，速度！
16.55000,？？？？
19.98500,为何？到底为何？
0.76300,哦吼！有瓜吃
